aalib 1.4rc5-13
perl-http-message 6.22-1
perl-http-negotiate 6.01-6
perl-io-html 1.001-5
perl-libwww 6.43-1
perl-lwp-mediatypes 6.02-6
perl-mailtools 2.21-2
perl-net-http 6.19-2
perl-path-tiny 0.112-1
perl-timedate 2.32-1
perl-try-tiny 0.30-3
perl-uri 1.76-2
perl-www-robotrules 6.02-6
perl-xml-libxml 2.0204-1
perl-xml-namespacesupport 1.12-3
perl-xml-parser 2.46-1
perl-xml-sax 1.02-1
perl-xml-sax-base 1.09-3
phodav 2.4-1
phonon-qt5 4.11.1-1
phonon-qt5-gstreamer 4.10.0-1
php 7.4.4-1
picard 2.3.1-1
picom 7.5-3
pinentry 1.1.0-5
pixman 0.38.4-1
pkgconf 1.6.3-3
plasma-framework 5.68.0-1
polkit 0.116-5
polkit-qt5 0.113.0-1
polybar 3.4.2-1
pop-gtk-theme 4.0.0-1
pop-icon-theme-bin 2.1.0-5
poppler 0.86.1-1
poppler-data 0.4.9-1
poppler-glib 0.86.1-1
poppler-qt5 0.86.1-1
popt 1.16-12
portaudio 1:19.6.0-6
postgresql-libs 12.2-1
potrace 1.16-1
ppp 2.4.7-7
prison 5.68.0-1
procps-ng 3.3.16-1
proj 6.3.1-1
protobuf 3.11.4-1
psmisc 23.3-2
ptex 2.3.2-1
pulseaudio 13.0-3
pulseaudio-alsa 2-5
pulseaudio-bluetooth 13.0-3
purpose 5.68.0-1
pygobject-devel 3.36.0-1
pygtk 2.24.0-8
python 3.8.2-1
python-anytree 2.8.0-1
python-appdirs 1.4.3-5
python-attrs 19.3.0-4
python-automat 20.2.0-1
python-babel 2.8.0-4
python-backcall 0.1.0-3
python-beaker 1.11.0-3
python-cachecontrol 0.12.6-1
python-cairocffi 1.1.0-3
python-cffi 1.14.0-1
python-chardet 3.0.4-4
python-click 7.1.1-1
python-colorama 0.4.3-1
python-constantly 15.1.0-5
python-contextlib2 0.6.0.post1-1
python-dbus 1.2.16-1
python-dbus-common 1.2.16-1
python-decorator 4.4.2-1
python-distlib 0.3.0-1
python-distro 1.4.0-3
python-docutils 0.14-4
python-evdev 1.3.0-1
python-gobject 3.36.0-1
python-gtkspellcheck 4.0.5-7
python-html5lib 1.0.1-7
python-hyperlink 19.0.0-3
python-idna 2.9-1
python-imagesize 1.2.0-1
python-importlib-metadata 1.5.0-1
python-incremental 17.5.0-4
python-jedi 0.16.0-1
python-jinja 2.11.1-1
python-lockfile 0.12.2-6
python-lxml 4.5.0-1
python-mako 1.1.2-1
python-markdown 3.1.1-4
python-markdown-math 0.6-5
python-markups 3.0.0-8
python-markupsafe 1.1.1-3
python-more-itertools 8.2.0-1
python-msgpack 0.6.2-3
python-mutagen 1.44.0-1
python-numpy 1.18.2-1
python-ordered-set 3.1.1-1
python-packaging 20.3-1
python-pafy 0.5.5-1
python-parso 0.6.2-1
python-pep517 0.8.1-1
python-pexpect 4.8.0-1
python-pickleshare 0.7.5-3
python-pillow 6.2.1-1
python-pip 20.0.2-1
python-ply 3.11-4
python-progress 1.5-3
python-prompt_toolkit 3.0.5-1
python-ptyprocess 0.6.0-4
python-pycparser 2.20-1
python-pyenchant 2.0.0-5
python-pygments 2.6.1-2
python-pyhamcrest 1.9.0-5
python-pyparsing 2.4.6-1
python-pyqt5 5.14.1-2
python-pyqt5-sip 12.7.1-1
python-pytoml 0.1.21-3
python-pytz 2019.3-3
python-pywal 3.3.0-2
python-requests 2.23.0-1
python-retrying 1.3.3-6
python-setuptools 1:46.1.3-1
python-shiboken2 5.14.1-1
python-six 1.14.0-1
python-snowballstemmer 2.0.0-3
python-sphinx 2.4.4-1
python-sphinx-alabaster-theme 0.7.12-3
python-sphinxcontrib-applehelp 1.0.2-1
python-sphinxcontrib-devhelp 1.0.2-1
python-sphinxcontrib-htmlhelp 1.0.3-1
python-sphinxcontrib-jsmath 1.0.1-4
python-sphinxcontrib-qthelp 1.0.3-1
python-sphinxcontrib-serializinghtml 1.1.4-1
python-toml 0.10.0-3
python-traitlets 4.3.3-3
python-twisted 19.10.0-3
python-typed-ast 1.4.1-1
python-urllib3 1.25.8-2
python-wcwidth 0.1.8-1
python-webencodings 0.5.1-4
python-xcffib 0.9.0-1
python-xlib 0.26-2
python-yaml 5.3.1-1
python-zipp 3.1.0-1
python-zope-interface 4.7.2-1
python2 2.7.17-2
python2-appdirs 1.4.3-5
python2-backports 1.0-2
python2-cachecontrol 0.12.6-1
python2-cairo 1.18.2-4
python2-chardet 3.0.4-4
python2-colorama 0.4.3-1
python2-configparser 4.0.2-1
python2-contextlib2 0.6.0.post1-1
python2-distlib 0.3.0-1
python2-distro 1.4.0-3
python2-gobject 3.36.0-1
python2-gobject2 2.28.7-4
python2-html5lib 1.0.1-7
python2-idna 2.9-1
python2-importlib-metadata 1.5.0-1
python2-ipaddress 1.0.23-1
python2-lockfile 0.12.2-6
python2-more-itertools 5.0.0-1
python2-msgpack 0.6.2-3
python2-numpy 1.16.4-2
python2-ordered-set 3.1.1-1
python2-packaging 20.3-1
python2-pathlib2 2.3.5-1
python2-pep517 0.8.1-1
python2-pexpect 4.8.0-1
python2-pip 20.0.2-1
python2-progress 1.5-3
python2-psutil 5.7.0-1
python2-ptyprocess 0.6.0-4
python2-pyparsing 2.4.6-1
python2-pytoml 0.1.21-3
python2-requests 2.23.0-1
python2-retrying 1.3.3-6
python2-scandir 1.10.0-1
python2-setuptools 2:44.1.0-1
python2-six 1.14.0-1
python2-toml 0.10.0-3
python2-urllib3 1.25.8-2
python2-webencodings 0.5.1-4
python2-wxpython3 3.0.2.0-2
python2-zipp 1:1.1.0-1
qbs 1.15.0-1
qca 2.3.0-1
qemu 4.2.0-2
qhull 2019.1-3
qpdf 9.1.1-1
qqc2-desktop-style 5.68.0-1
qrencode 4.0.2-1
qt4 4.8.7-31
qt5-base 5.14.1-3
qt5-declarative 5.14.1-1
qt5-graphicaleffects 5.14.1-1
qt5-imageformats 5.14.1-1
qt5-location 5.14.1-1
qt5-multimedia 5.14.1-1
qt5-quickcontrols 5.14.1-1
qt5-quickcontrols2 5.14.1-1
qt5-script 5.14.1-1
qt5-sensors 5.14.1-1
qt5-speech 5.14.1-1
qt5-svg 5.14.1-1
qt5-tools 5.14.1-1
qt5-wayland 5.14.1-1
qt5-webchannel 5.14.1-1
qt5-webengine 5.14.1-2
qt5-webkit 5.212.0alpha4-1
qt5-websockets 5.14.1-1
qt5-x11extras 5.14.1-1
qt5ct 0.41-2
qtcreator 4.11.1-1
qtermwidget 0.14.1-1
rapidjson 1.1.0-4
raptor 2.0.15-12
rarian 0.8.1-7
rasqal 1:0.9.33-2
re2 1:20200303-1
readline 8.0.004-1
redland 1:1.0.17-7
rest 0.8.1-1
rhash 1.3.9-1
rider 1:2019.3.4-1
ripgrep 12.0.0-1
rofi 1.5.4-1
rpcbind 1.2.5-3
rtkit 0.12-1
rtmpdump 1:2.4.r96.fa8646d-5
rubberband 1.8.2-3
run-parts 4.8.6.1-2
rust 1:1.42.0-1
sassc 3.6.1-1
sbc 1.4-1
schroedinger 1.0.11-5
screen 4.8.0-1
sddm 0.18.1-2
sddm-config-editor-git 0.1.r57.gc01cbcd-1
sdl 1.2.15-13
sdl2 2.0.12-1
seabios 1.13.0-1
sed 4.8-1
semver 7.1.3-1
serd 0.30.2-1
shaderc 2019.0-4
shadow 4.8.1-1
shared-color-targets 0.1.7-2
shared-mime-info 1.15-2
signon-kwallet-extension 19.12.3-1
signon-plugin-oauth2 0.24-2
signon-ui 0.17+20171022-2
signond 8.60-1
simplescreenrecorder 0.3.11-1
slang 2.3.2-1
smbclient 4.11.3-3
snappy 1.1.8-1
sndio 1.6.0-1
socat 1.7.3.4-1
solid 5.68.0-1
sonnet 5.68.0-1
sord 0.16.4-1
sound-theme-freedesktop 0.8-3
soundtouch 2.1.2-1
source-highlight 3.1.9-2
spandsp 0.0.6-2
spectacle 19.12.3-1
speex 1.2.0-2
speexdsp 1.2.0-1
spglib 1.14.1-1
spice 0.14.2-1
spice-gtk 0.37-1
spirv-tools 2019.5-2
sqlite 3.31.1-1
sratom 0.6.4-1
srt 1.4.1-1
startup-notification 0.12-6
steam 1.0.0.61-4
sudo 1.8.31.p1-1
suitesparse 5.7.1-1
syntax-highlighting 5.68.0-1
sysfsutils 2.1.0-11
sysprof 3.36.0-1
systemd 245.3-2
systemd-libs 245.3-2
systemd-sysvcompat 245.3-2
taglib 1.11.1-3
talloc 2.3.1-1
tar 1.32-3
tcl 8.6.10-1
tdb 1.4.3-2
teamspeak3 3.5.1-1
teamviewer 15.3.2682-1
telegram-desktop 1.9.21-3
telepathy-glib 0.24.1-2
telepathy-idle 0.2.0-2
telepathy-logger 0.8.2-3
telepathy-mission-control 5.16.5-2
template-glib 3.34.0-1
termite-terminfo 15-1
tevent 1:0.10.1-2
tex-gyre-fonts 2.501-1
texinfo 6.7-2
thin-provisioning-tools 0.8.5-3
threadweaver 5.68.0-1
thunar 1.8.14-1
thunar-archive-plugin 0.4.0-2
thunderbird 68.6.0-1
tinyxml 2.6.2-6
totem-pl-parser 3.26.5-1
tslib 1.21-1
ttf-dejavu 2.37-2
ttf-fira-sans 1:4.301-1
ttf-hack 3.003-1
ttf-liberation 2.1.0-1
ttf-ms-fonts 2.0-10
ttf-opensans 1.101-1
ttf-roboto 2.138-1
twolame 0.4.0-2
tzdata 2019c-3
uchardet 0.0.6-2
udisks2 2.8.4-2
unityhub 2.3.0-1
unixodbc 2.3.7-2
unrar 1:5.9.1-1
unzip 6.0-13
upower 0.99.11-1
usbmuxd 1.1.0+69+g8a69f1a-1
usbredir 0.8.0-1
usbutils 012-2
util-linux 2.35.1-1
v4l-utils 1.18.0-1
vala 0.48.2-1
vamp-plugin-sdk 2.9.0-1
vde2 2.3.2-13
vid.stab 1.1-2
virglrenderer 0.8.2-1
virtualbox 6.1.4-3
virtualbox-host-dkms 6.1.4-3
visual-studio-code-bin 1.43.2-1
vivaldi 2.11.1811.49-1
vmware-keymaps 1.0-1
volume_key 0.3.12-2
volumeicon 0.5.1-4
vsqlite++ 0.3.13-6
vte-common 0.60.1-1
vte3 0.60.1-1
vulkan-icd-loader 1.2.135-1
vulkan-intel 19.3.4-2
w3m 0.5.3.git20190105-1
wavpack 5.2.0-1
wayland 1.18.0-1
wayland-protocols 1.20-1
webkit2gtk 2.28.0-3
webrtc-audio-processing 0.3.1-1
wget 1.20.3-2
which 2.21-5
whois 5.5.6-1
wildmidi 0.4.3-1
wine 5.5-1
winetricks 20191224-2
wmctrl 1.07-5
woff2 1.0.2-1
wpa_supplicant 2:2.9-7
wpebackend-fdo 1.6.0-1
wps-office 11.1.0.9126-1
wxgtk-common 3.0.4-2
wxgtk3 3.0.4-2
x264 3:0.159.r2991.1771b55-1
x265 3.2.1-1
xapian-core 1:1.4.15-1
xbitmaps 1.1.2-1
xcb-proto 1.14-1
xcb-util 0.4.0-2
xcb-util-cursor 0.1.3-2
xcb-util-image 0.4.0-2
xcb-util-keysyms 0.4.0-2
xcb-util-renderutil 0.3.9-2
xcb-util-wm 0.4.1-2
xcb-util-xrm 1.3-1
xclip 0.13-2
xdg-dbus-proxy 0.1.2-1
xdg-desktop-portal-gtk 1.6.0-4
xdg-user-dirs 0.17-2
xdg-user-dirs-gtk 0.10+9+g5b7efc6-2
xdg-utils 1.1.3+19+g9816ebb-1
xdotool 3.20160805.1-2
xf86-input-libinput 0.29.0-2
xf86-video-intel 1:2.99.917+899+gf66d3954-1
xf86-video-vesa 2.4.0-2
xfce4-notifyd 0.4.4-2
xfce4-terminal 0.8.9.1-1
xfconf 4.14.1-1
xfsprogs 5.5.0-1
xkeyboard-config 2.29-1
xmlsec 1.2.29-1
xorg-bdftopcf 1.1-1
xorg-docs 1.7.1-2
xorg-font-util 1.3.2-1
xorg-font-utils 7.6-5
xorg-fonts-100dpi 1.0.3-4
xorg-fonts-75dpi 1.0.3-4
xorg-fonts-alias 1.0.3-2
xorg-fonts-encodings 1.0.5-1
xorg-iceauth 1.0.8-1
xorg-luit 1.1.1-3
xorg-mkfontscale 1.2.1-2
xorg-server 1.20.7-1
xorg-server-common 1.20.7-1
xorg-server-devel 1.20.7-1
xorg-server-xephyr 1.20.7-1
xorg-server-xnest 1.20.7-1
xorg-server-xvfb 1.20.7-1
xorg-server-xwayland 1.20.7-1
xorg-sessreg 1.1.2-1
xorg-setxkbmap 1.3.2-1
xorg-smproxy 1.0.6-2
xorg-util-macros 1.19.2-1
xorg-x11perf 1.6.1-1
xorg-xauth 1.1-1
xorg-xbacklight 1.2.3-1
xorg-xcmsdb 1.0.5-2
xorg-xcursorgen 1.0.7-1
xorg-xdpyinfo 1.3.2-3
xorg-xdriinfo 1.0.6-1
xorg-xev 1.2.3-1
xorg-xgamma 1.0.6-2
xorg-xhost 1.0.8-1
xorg-xinit 1.4.1-1
xorg-xinput 1.6.3-1
xorg-xkbcomp 1.4.3-1
xorg-xkbevd 1.1.4-2
xorg-xkbutils 1.0.4-3
xorg-xkill 1.0.5-1
xorg-xlsatoms 1.1.3-1
xorg-xlsclients 1.1.4-1
xorg-xmessage 1.0.5-1
xorg-xmodmap 1.0.10-1
xorg-xpr 1.0.5-1
xorg-xprop 1.2.4-1
xorg-xrandr 1.5.1-1
xorg-xrdb 1.2.0-1
xorg-xrefresh 1.0.6-1
xorg-xset 1.2.4-1
xorg-xsetroot 1.1.2-1
xorg-xvinfo 1.1.4-1
xorg-xwd 1.0.7-1
xorg-xwininfo 1.1.5-1
xorg-xwud 1.0.5-1
xorgproto 2019.2-2
xsel 1.2.0.20190821-1
xvidcore 1.3.7-1
xxhash 0.7.3-1
xz 5.2.5-1
yad 5.0-1
yajl 2.1.0-2
yaml-cpp 0.6.3-2
yasm 1.3.0-3
paru 9.4.6-2
yelp-tools 3.32.2-1
yelp-xsl 3.36.0-1
youtube-dl 2020.03.24-1
zbar 0.23-2
zeitgeist 1.0.2-4
zenity 3.32.0+17+gfb0938f-1
zeromq 4.3.2-1
zip 3.0-8
zita-alsa-pcmi 0.3.2-2
zita-resampler 1.6.2-2
zlib 1:1.2.11-4
zsh 5.8-1
zstd 1.4.4-1
zvbi 0.2.35-3
zziplib 0.13.69-1
